EVTYPE,EVENT
THUNDERSTORM WIND G55,Thunderstorm Wind
THUNDERSTORM WIND G60,Thunderstorm Wind
THUNDERSTORM WIND G61,Thunderstorm Wind
THUNDERSTORM WIND TREES,Thunderstorm Wind
THUNDERSTORM WIND,Thunderstorm Wind
THUNDERSTORM WIND.,Thunderstorm Wind
THUNDERSTORM WIND/ TREE,Thunderstorm Wind
THUNDERSTORM WIND/ TREES,Thunderstorm Wind
THUNDERSTORM WIND/AWNING,Thunderstorm Wind
THUNDERSTORM WIND/HAIL,Thunderstorm Wind
THUNDERSTORM WIND/LIGHTNING,Thunderstorm Wind
THUNDERSTORM WINDS      LE CEN,Thunderstorm Wind
THUNDERSTORM WINDS 13,Thunderstorm Wind
THUNDERSTORM WINDS 2,Thunderstorm Wind
THUNDERSTORM WINDS 50,Thunderstorm Wind
THUNDERSTORM WINDS 52,Thunderstorm Wind
THUNDERSTORM WINDS 53,Thunderstorm Wind
THUNDERSTORM WINDS 60,Thunderstorm Wind
THUNDERSTORM WINDS 61,Thunderstorm Wind
THUNDERSTORM WINDS 62,Thunderstorm Wind
THUNDERSTORM WINDS 63 MPH,Thunderstorm Wind
THUNDERSTORM WINDS AND,Thunderstorm Wind
THUNDERSTORM WINDS FUNNEL CLOU,Thunderstorm Wind
THUNDERSTORM WINDS G,Thunderstorm Wind
THUNDERSTORM WINDS G60,Thunderstorm Wind
THUNDERSTORM WINDS HAIL,Thunderstorm Wind
THUNDERSTORM WINDS HEAVY RAIN,Thunderstorm Wind
THUNDERSTORM WINDS LIGHTNING,Thunderstorm Wind
THUNDERSTORM WINDS SMALL STREA,Thunderstorm Wind
THUNDERSTORM WINDS URBAN FLOOD,Thunderstorm Wind
THUNDERSTORM WINDS,Thunderstorm Wind
THUNDERSTORM WINDS.,Thunderstorm Wind
THUNDERSTORM WINDS/ FLOOD,Thunderstorm Wind
THUNDERSTORM WINDS/ HAIL,Thunderstorm Wind
THUNDERSTORM WINDS/FLASH FLOOD,Thunderstorm Wind
THUNDERSTORM WINDS/FLOODING,Thunderstorm Wind
THUNDERSTORM WINDS/FUNNEL CLOU,Thunderstorm Wind
THUNDERSTORM WINDS/HAIL,Thunderstorm Wind
THUNDERSTORM WINDS/HEAVY RAIN,Thunderstorm Wind
THUNDERSTORM WINDS53,Thunderstorm Wind
THUNDERSTORM WINDSHAIL,Thunderstorm Wind
THUNDERSTORM WINDSS,Thunderstorm Wind
THUNDERSTORM WINS,Thunderstorm Wind
THUNDERSTORM,Thunderstorm Wind
THUNDERSTORMS WIND,Thunderstorm Wind
THUNDERSTORMS WINDS,Thunderstorm Wind
THUNDERSTORMS,Thunderstorm Wind
THUNDERSTORMW 50,Thunderstorm Wind
THUNDERSTORMW WINDS,Thunderstorm Wind
THUNDERSTORMW,Thunderstorm Wind
THUNDERSTORMWINDS,Thunderstorm Wind
THUNDERSTROM WIND,Thunderstorm Wind
THUNDERSTROM WINDS,Thunderstorm Wind
THUNDERTORM WINDS,Thunderstorm Wind
THUNDERTSORM WIND,Thunderstorm Wind
THUNDESTORM WINDS,Thunderstorm Wind
THUNERSTORM WINDS,Thunderstorm Wind
TIDAL FLOOD,Coastal Flood
TIDAL FLOODING,Coastal Flood
TORNADO DEBRIS,Tornado
TORNADO F0,Tornado
TORNADO F1,Tornado
TORNADO F2,Tornado
TORNADO F3,Tornado
TORNADO,Tornado
TORNADO/WATERSPOUT,Tornado
TORNADOES  TSTM WIND  HAIL,Tornado
TORNADOES,Tornado
TORNADOS,Tornado
TORNDAO,Tornado
TORRENTIAL RAIN,Thunderstorm Wind
TROPICAL DEPRESSION,Tropical Storm
TROPICAL STORM ALBERTO,Tropical Storm
TROPICAL STORM DEAN,Tropical Storm
TROPICAL STORM GORDON,Tropical Storm
TROPICAL STORM JERRY,Tropical Storm
TROPICAL STORM,Tropical Storm
TSTM HEAVY RAIN,Thunderstorm Wind
TSTM WIND  (G45),Thunderstorm Wind
TSTM WIND (41),Thunderstorm Wind
TSTM WIND (G35),Thunderstorm Wind
TSTM WIND (G40),Thunderstorm Wind
TSTM WIND (G45),Thunderstorm Wind
TSTM WIND 40,Thunderstorm Wind
TSTM WIND 45,Thunderstorm Wind
TSTM WIND 50,Thunderstorm Wind
TSTM WIND 51,Thunderstorm Wind
TSTM WIND 52,Thunderstorm Wind
TSTM WIND 55,Thunderstorm Wind
TSTM WIND 65),Thunderstorm Wind
TSTM WIND AND LIGHTNING,Thunderstorm Wind
TSTM WIND DAMAGE,Thunderstorm Wind
TSTM WIND G45,Thunderstorm Wind
TSTM WIND G58,Thunderstorm Wind
TSTM WIND,Thunderstorm Wind
TSTM WIND/HAIL,Thunderstorm Wind
TSTM WINDS,Thunderstorm Wind
TSTM WND,Thunderstorm Wind
TSTM,Thunderstorm Wind
TSTMW,Thunderstorm Wind
TSUNAMI,Tsunami
TUNDERSTORM WIND,Thunderstorm Wind
TYPHOON,Hurricane (Typhoon)
Temperature record,Others
Thundersnow shower,Thunderstorm Wind
Thunderstorm Wind,Thunderstorm Wind
Tidal Flooding,Coastal Flood
Torrential Rainfall,Thunderstorm Wind
Tstm Wind,Thunderstorm Wind
UNSEASONABLY COLD,Cold/Wind Chill
UNSEASONABLY COOL & WET,Cold/Wind Chill
UNSEASONABLY COOL,Cold/Wind Chill
UNSEASONABLY DRY,Heat
UNSEASONABLY HOT,Heat
UNSEASONABLY WARM & WET,Heat
UNSEASONABLY WARM AND DRY,Heat
UNSEASONABLY WARM YEAR,Heat
UNSEASONABLY WARM,Heat
UNSEASONABLY WARM/WET,Heat
UNSEASONABLY WET,Heavy Rain
UNSEASONAL LOW TEMP,Cold/Wind Chill
UNSEASONAL RAIN,Others
UNUSUAL WARMTH,Heat
UNUSUAL/RECORD WARMTH,Heat
UNUSUALLY COLD,Cold/Wind Chill
UNUSUALLY LATE SNOW,Heavy Snow
UNUSUALLY WARM,Others
URBAN AND SMALL STREAM FLOOD,Heavy Rain
URBAN AND SMALL STREAM FLOODIN,Heavy Rain
URBAN AND SMALL STREAM,Heavy Rain
URBAN AND SMALL,Heavy Rain
URBAN FLOOD LANDSLIDE,Heavy Rain
URBAN FLOOD,Heavy Rain
URBAN FLOODING,Heavy Rain
URBAN FLOODS,Heavy Rain
URBAN SMALL STREAM FLOOD,Heavy Rain
URBAN SMALL,Heavy Rain
URBAN/SMALL FLOODING,Heavy Rain
URBAN/SMALL STREAM  FLOOD,Heavy Rain
URBAN/SMALL STREAM FLOOD,Heavy Rain
URBAN/SMALL STREAM FLOODING,Heavy Rain
URBAN/SMALL STREAM,Heavy Rain
URBAN/SMALL STRM FLDG,Heavy Rain
URBAN/SMALL,Heavy Rain
URBAN/SML STREAM FLD,Heavy Rain
URBAN/SML STREAM FLDG,Heavy Rain
URBAN/STREET FLOODING,Heavy Rain
Unseasonable Cold,Cold/Wind Chill
Urban Flood,Heavy Rain
Urban Flooding,Heavy Rain
Urban flood,Heavy Rain
VERY DRY,Others
VERY WARM,Others
VOG,Volcanic Ash
VOLCANIC ASH,Volcanic Ash
VOLCANIC ASHFALL,Volcanic Ash
VOLCANIC ERUPTION,Volcanic Ash
Volcanic Ash Plume,Volcanic Ash
Volcanic Ash,Volcanic Ash
WAKE LOW WIND,Strong Wind
WALL CLOUD,Tornado
WALL CLOUD/FUNNEL CLOUD,Tornado
WARM DRY CONDITIONS,Others
WARM WEATHER,Others
WATER SPOUT,Tornado
WATERSPOUT FUNNEL CLOUD,Tornado
WATERSPOUT TORNADO,Tornado
WATERSPOUT,Tornado
WATERSPOUT-,Tornado
WATERSPOUT-TORNADO,Tornado
WATERSPOUT/ TORNADO,Tornado
WATERSPOUT/,Tornado
WATERSPOUT/TORNADO,Tornado
WATERSPOUTS,Tornado
WAYTERSPOUT,Tornado
WET MICROBURST,Thunderstorm Wind
WET SNOW,Heavy Snow
WET WEATHER,Others
WHIRLWIND,Thunderstorm Wind
WILD FIRES,Wildfire
WILD/FOREST FIRE,Wildfire
WILD/FOREST FIRES,Wildfire
WILDFIRE,Wildfire
WILDFIRES,Wildfire
WIND ADVISORY,High Wind
WIND AND WAVE,High Wind
WIND CHILL,High Wind
WIND CHILL/HIGH WIND,High Wind
WIND DAMAGE,High Wind
WIND GUSTS,High Wind
WIND STORM,High Wind
WIND,High Wind
WIND/HAIL,High Wind
WINDS,High Wind
WINTER MIX,Winter Weather
WINTER STORM HIGH WINDS,Winter Storm
WINTER STORM,Winter Storm
WINTER STORM/HIGH WIND,Winter Storm
WINTER STORM/HIGH WINDS,Winter Storm
WINTER STORMS,Winter Storm
WINTER WEATHER MIX,Winter Weather
WINTER WEATHER,Winter Weather
WINTER WEATHER/MIX,Winter Weather
WINTERY MIX,Winter Weather
WINTRY MIX,Winter Weather
WND,Winter Weather
Wet Month,Others
Wet Year,Others
Whirlwind,Thunderstorm Wind
Wind,High Wind
Wind Damage,High Wind
Winter Weather,Winter Weather
Wintry Mix,Winter Weather
Wintry mix,Winter Weather
blowing snow,Blizzard
coastal flooding,Coastal Flood
gradient wind,Tropical Depression
small hail,Hail
wet micoburst,Thunderstorm Wind
